language,mean_value,std_value,count
Icelandic,0.5244864931767529,0.1738819997580482,7910
Faroese,0.5375989196088711,0.17301778473942409,4000
Spanish,0.5968663502062148,0.1546865804019611,7000
German,0.6017363072748919,0.1781264107754535,7030
Norwegian,0.6112722898592289,0.15190425529493792,10490
Italian,0.6235594899020768,0.1433508974806279,7000
French,0.6374924824527195,0.19354563235885752,7000
Danish,0.6401997369809294,0.15674845087973624,8060
Swedish,0.641687181586314,0.16056892858790325,7030
Dutch,0.649737386319156,0.15807498619850274,7980
Finnish,0.6884244661449082,0.15698292080763984,290
English,0.6947134107032916,0.13112911035602232,7030
