language,mean_value,std_value,count
Icelandic,0.4890076540594659,0.18440984526935789,17520
Faroese,0.4973981421231208,0.193366738953365,8420
German,0.5597868949267143,0.19488575538976108,16020
Spanish,0.5607399812762557,0.1808357477615818,9450
Norwegian,0.5610221883797807,0.16610403990323344,28120
Italian,0.5926377497516478,0.169227349155525,10670
Danish,0.5967346461950074,0.17088595292457154,23690
Swedish,0.5968027654577316,0.17970789507911158,19170
Dutch,0.5971723862112172,0.18209200641536197,18040
French,0.6018494619684244,0.21310487271220938,11450
English,0.6560920979777697,0.16380686317000243,15730
Finnish,0.7069602324177503,0.1543144871144364,480
