,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,21865.9,0.220042,11.292,11.2678,21846.7,21866.3,21884.0,2595.16,4471.63,1.0028
mu_alpha,0.135843,0.00161862,0.138345,0.127641,-0.0880605,0.136755,0.353483,8260.69,4397.97,1.0007
sigma_alpha,0.411205,0.00146573,0.11409,0.0955343,0.27134,0.390757,0.623202,6321.64,5016.17,1.0006
mu_beta_language[1],-1.02676,0.00448775,0.361944,0.350658,-1.61597,-1.02477,-0.445671,6572.54,4817.85,1.00078
mu_beta_language[2],-0.0674645,0.00131491,0.12525,0.115606,-0.271738,-0.0679841,0.131402,9043.98,5691.67,1.00174
mu_beta_language[3],-0.136603,0.00523926,0.416189,0.403988,-0.821501,-0.139037,0.551553,6403.53,1893.96,1.00045
mu_beta_language[4],0.408092,0.00159604,0.139494,0.126544,0.181608,0.407959,0.632681,7507.0,5109.35,1.00017
mu_beta_language[5],1.03431,0.00187255,0.0997984,0.091899,0.867075,1.03514,1.19325,3388.91,1041.75,1.00088
mu_beta_language[6],-1.49197,0.00445552,0.348261,0.337069,-2.06316,-1.49121,-0.926564,6417.3,2301.62,1.00257
mu_beta_language[7],0.343053,0.00249114,0.244073,0.227596,-0.0600965,0.345523,0.743241,9771.65,5998.85,1.00009
mu_beta_language[8],1.04137,0.00159157,0.149601,0.137974,0.797262,1.0423,1.27954,9249.03,5646.36,1.00069
mu_beta_language[9],1.56673,0.00210967,0.185469,0.172575,1.2668,1.56779,1.86602,7903.81,5252.96,1.00023
mu_beta_language[10],0.511974,0.0015198,0.118654,0.106675,0.317828,0.513485,0.702845,6641.02,4147.54,1.00074
mu_beta_language[11],0.470907,0.000952606,0.0831284,0.0758469,0.335563,0.470426,0.603427,7919.33,5578.83,1.00029
mu_beta_language[12],-2.65365,0.00173009,0.148826,0.136421,-2.89751,-2.65384,-2.41122,7759.47,5353.31,1.00018
sigma_beta_language[1],1.30888,0.00364669,0.313721,0.2803,0.902041,1.25548,1.89849,10904.2,3972.23,1.00054
sigma_beta_language[2],0.371334,0.00134337,0.110519,0.095343,0.23182,0.352959,0.571081,7544.51,5560.72,1.00034
sigma_beta_language[3],1.69442,0.0048521,0.396059,0.35045,1.16992,1.63033,2.42673,6996.13,3078.14,1.00013
sigma_beta_language[4],0.410814,0.00145651,0.119969,0.103254,0.259197,0.390577,0.637225,8490.17,5246.56,1.00131
sigma_beta_language[5],0.274337,0.00114786,0.0884762,0.0773917,0.1608,0.259865,0.435575,6409.58,6163.99,0.999995
sigma_beta_language[6],1.21383,0.0067414,0.311069,0.254081,0.822788,1.1545,1.81957,4337.97,1141.03,1.00112
sigma_beta_language[7],0.784899,0.00237492,0.208276,0.175183,0.521649,0.748442,1.17515,9905.24,5260.8,1.00118
sigma_beta_language[8],0.456788,0.00162483,0.130002,0.110125,0.293262,0.433337,0.695665,8823.19,5081.82,1.00041
sigma_beta_language[9],0.573361,0.00185537,0.159196,0.137877,0.37195,0.545096,0.865187,8898.77,5471.15,0.999906
sigma_beta_language[10],0.351487,0.00158523,0.109482,0.0954105,0.214099,0.332271,0.55215,5634.2,5147.14,1.00063
sigma_beta_language[11],0.230087,0.00113787,0.0797516,0.0690595,0.127074,0.21684,0.375055,4662.41,5507.13,1.00111
sigma_beta_language[12],0.450569,0.00168833,0.133312,0.114526,0.279397,0.425653,0.691889,5372.3,2569.33,1.00121
mu_beta_task[1],-0.183781,0.0011209,0.100864,0.0983357,-0.345285,-0.184542,-0.0179882,8208.97,5551.66,0.999983
mu_beta_task[2],0.019813,0.000930783,0.0874899,0.0829724,-0.123727,0.0217596,0.160705,8965.38,6664.15,1.0003
mu_beta_task[3],-0.102997,0.00103165,0.089475,0.0856491,-0.247178,-0.103718,0.0404019,7707.9,5640.51,1.00016
mu_beta_task[4],0.116254,0.000664607,0.0605445,0.056008,0.0160113,0.117907,0.212492,8607.35,5825.05,1.00011
mu_beta_task[5],0.154903,0.000626217,0.0566161,0.0525278,0.0631179,0.155183,0.245919,8278.91,6248.41,1.00097
mu_beta_task[6],0.800186,0.000776384,0.0636266,0.0596406,0.696731,0.800721,0.903253,6884.65,3886.16,1.00035
mu_beta_task[7],-0.804377,0.00122915,0.121695,0.118684,-1.00399,-0.803632,-0.601208,9875.45,6492.2,1.00005
sigma_beta_task[1],0.34099,0.00112661,0.0980174,0.0825905,0.21786,0.322684,0.523164,9959.14,6008.44,1.00043
sigma_beta_task[2],0.266652,0.00104277,0.0858444,0.0741159,0.158004,0.252185,0.425133,6940.34,5567.56,1.00029
sigma_beta_task[3],0.274157,0.00109457,0.0867226,0.0748602,0.164845,0.25986,0.43401,6159.48,6022.42,1.00079
sigma_beta_task[4],0.158117,0.00108086,0.0628834,0.0557524,0.0731135,0.149531,0.273034,3041.45,3093.94,1.0005
sigma_beta_task[5],0.131749,0.00147382,0.062865,0.0562654,0.0407028,0.125156,0.244164,1275.89,728.025,1.00227
sigma_beta_task[6],0.170861,0.00102856,0.0650027,0.0573707,0.085058,0.160753,0.292259,3906.49,3641.71,1.00059
sigma_beta_task[7],0.507734,0.00140846,0.134074,0.116788,0.337448,0.484679,0.756058,11540.5,5610.85,1.0
alpha_std[1],-0.268683,0.000380515,0.0394691,0.0392392,-0.334594,-0.268819,-0.204048,10797.4,6792.18,1.00059
alpha_std[2],-0.184126,0.000437893,0.0407489,0.0401481,-0.250705,-0.183916,-0.117172,8762.07,5735.56,1.0015
alpha_std[3],-0.151255,0.000373464,0.0393479,0.0386692,-0.216368,-0.150761,-0.0870308,11179.1,6173.82,1.00044
alpha_std[4],0.117413,0.000413689,0.0400232,0.0395621,0.0517591,0.117283,0.183585,9695.11,6143.32,1.00026
alpha_std[5],-0.241757,0.000614548,0.0405669,0.0402919,-0.308335,-0.241947,-0.174354,4579.86,1211.14,1.00134
alpha_std[6],0.117961,0.000384977,0.0391954,0.0392348,0.0545515,0.117533,0.182907,10437.2,6845.47,1.00069
