,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,0.0,,0.0,0.0,0.0,0.0,0.0,,,
mu_alpha,-0.0230957,0.0223665,1.99682,1.98503,-3.27546,-0.0228286,3.27118,7998.87,7930.54,0.999901
sigma_alpha,1.01195,0.0115572,1.01795,0.727561,0.0489198,0.695258,3.06547,7731.38,7972.28,0.999837
mu_beta_language_unc[1],0.0231741,0.0225185,1.97975,1.93653,-3.268,0.0454335,3.27273,7759.0,7630.19,0.999803
mu_beta_language_unc[2],-0.0167165,0.0223317,2.02056,2.02803,-3.30458,-0.0017244,3.3047,8217.1,8046.06,0.999967
mu_beta_language_unc[3],-0.0105898,0.0224915,1.99711,1.95222,-3.36542,0.0236247,3.30485,7879.52,8095.33,0.999945
mu_beta_language_unc[4],0.00435137,0.022234,1.99106,1.9847,-3.28051,0.00508389,3.24069,8037.69,7850.66,1.00003
mu_beta_language_unc[5],0.00267356,0.022951,1.99744,1.98608,-3.24466,-0.0120821,3.29079,7613.2,7662.95,1.00003
mu_beta_language_unc[6],0.0174961,0.0228934,1.98212,1.98311,-3.27465,0.0363674,3.18069,7532.65,7658.77,1.00017
mu_beta_language_unc[7],-0.00442784,0.0220653,1.99201,2.00179,-3.3313,0.00643794,3.28534,8203.21,7783.77,1.00009
mu_beta_language_unc[8],-0.0225314,0.0228796,1.99467,2.01069,-3.29229,0.00433589,3.1583,7617.7,7593.7,1.00035
mu_beta_language_unc[9],-0.00388367,0.0221928,1.97948,1.98677,-3.24378,0.0150709,3.19207,7990.0,7592.82,1.00013
mu_beta_language_unc[10],-0.0176485,0.0226584,1.97676,1.9892,-3.26033,-0.0114728,3.26792,7666.43,7357.31,0.999917
mu_beta_language_unc[11],-0.0109494,0.0221693,1.9821,2.00019,-3.21601,-0.00699431,3.30475,8006.23,7769.7,1.00067
mu_beta_language_unc[12],-0.0247087,0.0231395,2.02753,2.03201,-3.34491,0.00438007,3.30044,7718.21,7620.63,1.00022
mean_mu_beta_language,-0.00531338,0.00657801,0.5772,0.58017,-0.961325,-0.00214405,0.941285,7704.47,7836.51,1.0
mu_beta_language[1],0.0284875,0.0215939,1.89512,1.86633,-3.08315,0.0155271,3.18142,7734.14,7539.34,0.999961
mu_beta_language[2],-0.0114031,0.0214619,1.92608,1.91363,-3.17974,-0.0143493,3.17834,8105.19,8178.61,1.00016
mu_beta_language[3],-0.00527644,0.0213011,1.9084,1.8891,-3.17865,0.0176905,3.15654,8022.01,7766.98,0.999898
mu_beta_language[4],0.00966474,0.0213057,1.91206,1.89345,-3.15085,0.0207934,3.13253,8091.23,7918.85,1.00009
mu_beta_language[5],0.00798694,0.0217861,1.90773,1.90773,-3.06163,-0.013884,3.12838,7689.93,7830.15,1.00009
mu_beta_language[6],0.0228095,0.0218899,1.90422,1.88652,-3.18153,0.0537572,3.13775,7599.36,7617.37,1.00055
mu_beta_language[7],0.000885564,0.0212175,1.91098,1.90661,-3.14953,0.0255719,3.10498,8134.8,7525.55,0.999777
mu_beta_language[8],-0.0172179,0.0218947,1.90222,1.92014,-3.14511,-0.0116327,3.05951,7573.3,7555.34,1.00005
mu_beta_language[9],0.00142972,0.0213845,1.89795,1.88888,-3.13733,-0.0055736,3.1055,7907.81,7664.32,1.00007
mu_beta_language[10],-0.0123351,0.0218669,1.89028,1.92056,-3.13477,-0.0212888,3.07699,7544.78,7417.07,0.999855
