,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,108144.0,3.34041,50.2575,49.6671,108066.0,108142.0,108232.0,225.082,365.517,1.03153
mu_alpha,0.484731,0.000343865,0.0408542,0.0413957,0.417573,0.484617,0.5519,14354.2,4823.3,1.00068
sigma_alpha,0.405935,0.000227883,0.0290282,0.028268,0.361761,0.403761,0.456639,18122.8,5665.15,1.00094
mu_beta_language[1],0.0722606,0.000130234,0.00837193,0.00825504,0.0585188,0.0722968,0.0860178,4285.14,5133.59,1.00004
mu_beta_language[2],0.143198,0.000162536,0.0146208,0.0145791,0.119044,0.143249,0.16701,8154.65,5466.0,1.00091
mu_beta_language[3],0.275057,0.000137647,0.0124015,0.0121944,0.25501,0.275099,0.295495,8306.71,5486.43,1.0004
mu_beta_language[4],-0.0404948,0.000132376,0.00936146,0.00931206,-0.0561206,-0.0405262,-0.0252417,5287.54,5601.73,1.00021
mu_beta_language[5],0.115287,0.000136094,0.0083339,0.00834852,0.101848,0.115268,0.129005,3817.13,6314.65,1.00013
mu_beta_language[6],-0.26339,0.000147409,0.012229,0.0123775,-0.283562,-0.263406,-0.243521,7090.35,5774.8,1.00067
mu_beta_language[7],0.0405015,0.000127858,0.00876298,0.00882792,0.0261438,0.0405783,0.0548434,4779.11,4887.5,1.00026
mu_beta_language[8],-0.0132461,0.000139142,0.0104726,0.0102164,-0.0305236,-0.0131449,0.00408619,5889.32,6197.64,1.00121
mu_beta_language[9],0.0668048,0.000132785,0.010599,0.010463,0.049863,0.0667657,0.0844877,6522.06,4686.46,1.00032
mu_beta_language[10],-0.312027,0.000156425,0.0139471,0.0141188,-0.334768,-0.312015,-0.289034,8185.7,5949.07,1.00017
mu_beta_language[11],0.0557739,0.000146706,0.0107053,0.0105925,0.0379738,0.0559164,0.0731462,5452.44,4753.43,1.00021
mu_beta_language[12],-0.139726,0.00134714,0.0297256,0.0272717,-0.187838,-0.14006,-0.0917089,521.029,696.818,1.00485
sigma_beta_language[1],0.0740809,6.08796e-05,0.00640428,0.00631491,0.0641441,0.073728,0.0852467,11212.9,6478.32,1.00076
sigma_beta_language[2],0.153857,9.92229e-05,0.011572,0.0113174,0.136059,0.153141,0.173794,14458.1,6516.76,1.00152
sigma_beta_language[3],0.119655,7.90432e-05,0.00932781,0.00915654,0.105151,0.119098,0.135753,14488.5,5984.23,1.00078
sigma_beta_language[4],0.0870847,6.47847e-05,0.00712398,0.00705851,0.076143,0.0867125,0.0993822,12338.3,6809.91,0.999952
sigma_beta_language[5],0.0750502,6.21094e-05,0.00643003,0.00640513,0.0651649,0.0746178,0.0861547,11039.0,5996.63,1.00065
sigma_beta_language[6],0.114989,8.72325e-05,0.00959095,0.00948049,0.100039,0.114431,0.13151,12500.3,6550.36,1.00141
sigma_beta_language[7],0.0793669,5.99162e-05,0.00658997,0.00648978,0.0691739,0.0789785,0.0907412,12377.3,6494.55,1.00037
sigma_beta_language[8],0.0997023,6.8507e-05,0.00785278,0.00790211,0.087698,0.0992936,0.113409,13579.0,6670.04,1.00067
sigma_beta_language[9],0.102699,7.00344e-05,0.00825902,0.00809663,0.0899412,0.102175,0.11708,14362.1,6373.47,0.999951
sigma_beta_language[10],0.145328,8.45211e-05,0.0109183,0.0108541,0.128369,0.144871,0.163845,17585.5,6550.14,1.00088
sigma_beta_language[11],0.105212,7.20477e-05,0.00812195,0.00794021,0.0927596,0.104662,0.119598,13599.2,5523.08,1.0002
sigma_beta_language[12],0.0522791,0.00163149,0.0207134,0.0191181,0.0220209,0.0502394,0.0911965,152.812,246.858,1.04196
mu_beta_task[1],0.668407,0.000196689,0.019463,0.0190536,0.635958,0.668355,0.700249,9844.47,5601.27,1.00097
mu_beta_task[2],0.0574193,0.000250384,0.0314704,0.0310144,0.00554828,0.0574194,0.108675,16027.2,5749.97,1.00121
mu_beta_task[3],-0.360963,0.00023111,0.0328774,0.0327091,-0.414619,-0.361307,-0.307532,20424.7,5669.54,1.00052
mu_beta_task[4],0.327033,0.000215916,0.0264288,0.0261368,0.282796,0.327079,0.370835,15302.9,5744.92,1.00042
mu_beta_task[5],-0.983277,0.000371015,0.0465127,0.0468035,-1.05943,-0.983707,-0.907284,16078.8,5712.02,1.00132
mu_beta_task[6],0.290758,0.000245313,0.0313524,0.032119,0.239408,0.290427,0.343141,16737.3,6015.34,1.00006
mu_beta_task[7],0.000622658,0.000123383,0.0162387,0.0163644,-0.026413,0.000760494,0.0269604,17877.1,5822.85,1.00017
sigma_beta_task[1],0.191033,0.000138014,0.0150237,0.0147763,0.168103,0.190097,0.21753,12426.4,6083.37,1.00017
sigma_beta_task[2],0.341719,0.000192385,0.0250537,0.0244125,0.303231,0.340155,0.385763,17807.5,5557.95,1.00003
sigma_beta_task[3],0.35159,0.000205682,0.0259226,0.0254844,0.311901,0.349858,0.39674,16852.5,5563.54,1.0008
sigma_beta_task[4],0.276181,0.000156601,0.0202303,0.0199543,0.245676,0.274839,0.311659,18828.3,5439.63,1.0007
sigma_beta_task[5],0.617893,0.000340019,0.0446844,0.0436737,0.549598,0.614814,0.695701,18010.6,5719.62,1.00122
sigma_beta_task[6],0.333969,0.000204617,0.0245159,0.0237097,0.296205,0.332542,0.376731,15619.9,5426.88,1.00072
sigma_beta_task[7],0.162941,9.91671e-05,0.0121353,0.0119334,0.144027,0.162232,0.184398,15652.9,5809.98,1.0002
alpha_std[1],0.63765,0.000185549,0.0153995,0.0151322,0.612207,0.637533,0.663012,7097.99,6081.22,1.00012
alpha_std[2],0.662206,0.000134855,0.0138184,0.0139906,0.63978,0.66228,0.684765,10530.0,6729.79,1.00039
alpha_std[3],0.816302,0.000222154,0.01549,0.0154072,0.791048,0.816069,0.842199,4991.79,5020.03,1.00026
alpha_std[4],0.532837,0.000196645,0.0148718,0.0146058,0.508408,0.532814,0.557595,5819.89,4894.32,1.00129
alpha_std[5],0.521001,0.000193917,0.0153004,0.01523,0.495993,0.521002,0.546174,6432.79,6332.14,1.00024
