,Mean,StdDev,5%,95%,ESS_bulk,ESS_tail,R_hat
mu_alpha,0.484731,0.0408542,0.417573,0.5519,14354.2,4823.3,1.00068
sigma_alpha,0.405935,0.0290282,0.361761,0.456639,18122.8,5665.15,1.00094
mu_beta_language[1],0.0722606,0.00837193,0.0585188,0.0860178,4285.14,5133.59,1.00004
mu_beta_language[2],0.143198,0.0146208,0.119044,0.16701,8154.65,5466.0,1.00091
mu_beta_language[3],0.275057,0.0124015,0.25501,0.295495,8306.71,5486.43,1.0004
mu_beta_language[4],-0.0404948,0.00936146,-0.0561206,-0.0252417,5287.54,5601.73,1.00021
mu_beta_language[5],0.115287,0.0083339,0.101848,0.129005,3817.13,6314.65,1.00013
mu_beta_language[6],-0.26339,0.012229,-0.283562,-0.243521,7090.35,5774.8,1.00067
mu_beta_language[7],0.0405015,0.00876298,0.0261438,0.0548434,4779.11,4887.5,1.00026
mu_beta_language[8],-0.0132461,0.0104726,-0.0305236,0.00408619,5889.32,6197.64,1.00121
mu_beta_language[9],0.0668048,0.010599,0.049863,0.0844877,6522.06,4686.46,1.00032
mu_beta_language[10],-0.312027,0.0139471,-0.334768,-0.289034,8185.7,5949.07,1.00017
mu_beta_language[11],0.0557739,0.0107053,0.0379738,0.0731462,5452.44,4753.43,1.00021
mu_beta_language[12],-0.139726,0.0297256,-0.187838,-0.0917089,521.029,696.818,1.00485
sigma_beta_language[1],0.0740809,0.00640428,0.0641441,0.0852467,11212.9,6478.32,1.00076
sigma_beta_language[2],0.153857,0.011572,0.136059,0.173794,14458.1,6516.76,1.00152
sigma_beta_language[3],0.119655,0.00932781,0.105151,0.135753,14488.5,5984.23,1.00078
sigma_beta_language[4],0.0870847,0.00712398,0.076143,0.0993822,12338.3,6809.91,0.999952
sigma_beta_language[5],0.0750502,0.00643003,0.0651649,0.0861547,11039.0,5996.63,1.00065
sigma_beta_language[6],0.114989,0.00959095,0.100039,0.13151,12500.3,6550.36,1.00141
sigma_beta_language[7],0.0793669,0.00658997,0.0691739,0.0907412,12377.3,6494.55,1.00037
sigma_beta_language[8],0.0997023,0.00785278,0.087698,0.113409,13579.0,6670.04,1.00067
sigma_beta_language[9],0.102699,0.00825902,0.0899412,0.11708,14362.1,6373.47,0.999951
sigma_beta_language[10],0.145328,0.0109183,0.128369,0.163845,17585.5,6550.14,1.00088
sigma_beta_language[11],0.105212,0.00812195,0.0927596,0.119598,13599.2,5523.08,1.0002
sigma_beta_language[12],0.0522791,0.0207134,0.0220209,0.0911965,152.812,246.858,1.04196
mu_beta_task[1],0.668407,0.019463,0.635958,0.700249,9844.47,5601.27,1.00097
mu_beta_task[2],0.0574193,0.0314704,0.00554828,0.108675,16027.2,5749.97,1.00121
mu_beta_task[3],-0.360963,0.0328774,-0.414619,-0.307532,20424.7,5669.54,1.00052
mu_beta_task[4],0.327033,0.0264288,0.282796,0.370835,15302.9,5744.92,1.00042
mu_beta_task[5],-0.983277,0.0465127,-1.05943,-0.907284,16078.8,5712.02,1.00132
mu_beta_task[6],0.290758,0.0313524,0.239408,0.343141,16737.3,6015.34,1.00006
mu_beta_task[7],0.000622658,0.0162387,-0.026413,0.0269604,17877.1,5822.85,1.00017
sigma_beta_task[1],0.191033,0.0150237,0.168103,0.21753,12426.4,6083.37,1.00017
sigma_beta_task[2],0.341719,0.0250537,0.303231,0.385763,17807.5,5557.95,1.00003
sigma_beta_task[3],0.35159,0.0259226,0.311901,0.39674,16852.5,5563.54,1.0008
sigma_beta_task[4],0.276181,0.0202303,0.245676,0.311659,18828.3,5439.63,1.0007
sigma_beta_task[5],0.617893,0.0446844,0.549598,0.695701,18010.6,5719.62,1.00122
sigma_beta_task[6],0.333969,0.0245159,0.296205,0.376731,15619.9,5426.88,1.00072
sigma_beta_task[7],0.162941,0.0121353,0.144027,0.184398,15652.9,5809.98,1.0002
alpha_std[1],0.63765,0.0153995,0.612207,0.663012,7097.99,6081.22,1.00012
alpha_std[2],0.662206,0.0138184,0.63978,0.684765,10530.0,6729.79,1.00039
alpha_std[3],0.816302,0.01549,0.791048,0.842199,4991.79,5020.03,1.00026
alpha_std[4],0.532837,0.0148718,0.508408,0.557595,5819.89,4894.32,1.00129
alpha_std[5],0.521001,0.0153004,0.495993,0.546174,6432.79,6332.14,1.00024
alpha_std[6],-0.0563412,0.0153767,-0.0816158,-0.0312331,6599.52,5799.88,1.00021
alpha_std[7],-0.0653155,0.0146853,-0.0894803,-0.0412331,7116.48,6056.76,1.00123
alpha_std[8],0.0225245,0.014727,-0.00196713,0.0466237,6964.83,5913.97,1.00074
alpha_std[9],0.497116,0.0151248,0.472147,0.521638,6442.08,6368.97,1.00001
alpha_std[10],0.481191,0.0153395,0.456013,0.50615,5897.14,5840.16,1.00018
alpha_std[11],0.539031,0.0152419,0.513962,0.564288,7591.73,6779.31,1.00023
alpha_std[12],0.533755,0.0149515,0.509066,0.558501,7205.87,5857.97,1.00052
alpha_std[13],0.950659,0.0144467,0.927032,0.974453,10468.3,6397.16,1.00039
alpha_std[14],1.02229,0.0159508,0.996225,1.04896,7362.88,5406.17,1.00055
alpha_std[15],0.0188216,0.0160899,-0.00777603,0.04489,6400.84,6102.01,1.0
alpha_std[16],-0.00762144,0.0152193,-0.0326877,0.0172889,6920.29,6406.18,1.00133
alpha_std[17],0.312868,0.0151322,0.288201,0.337571,5603.29,6398.48,0.999848
alpha_std[18],0.931264,0.014488,0.907727,0.955134,9982.3,7006.49,0.999999
alpha_std[19],0.980883,0.0144495,0.956833,1.00463,9201.82,6974.14,0.999866
alpha_std[20],0.828735,0.0155778,0.803329,0.85463,7635.94,4458.41,1.00128
alpha_std[21],0.156063,0.0147162,0.131892,0.180696,6172.75,5804.62,1.001
alpha_std[22],0.239617,0.0147765,0.215255,0.263767,6519.78,5438.77,1.00011
alpha_std[23],0.613566,0.0149731,0.588904,0.638277,6986.93,6172.88,0.999912
alpha_std[24],0.66439,0.0151447,0.639984,0.68919,7203.56,6505.25,0.999936
alpha_std[25],0.602815,0.0151363,0.578012,0.62758,6106.49,5813.09,1.00056
alpha_std[26],0.578585,0.0152714,0.553435,0.603881,8070.98,6141.85,1.00051
alpha_std[27],0.464619,0.0150775,0.440071,0.489439,7673.54,6440.1,0.999967
alpha_std[28],0.729002,0.0153883,0.704325,0.754517,7528.36,6298.34,1.00027
alpha_std[29],1.03997,0.0159819,1.01362,1.06606,6609.31,6070.59,1.00023
alpha_std[30],1.26348,0.0169145,1.23593,1.29114,7836.92,6779.4,1.0003
alpha_std[31],1.30103,0.0171519,1.27267,1.3291,7694.36,5525.14,1.0001
alpha_std[32],1.20256,0.0167255,1.17495,1.23014,7040.77,6082.68,1.00012
alpha_std[33],1.40243,0.0165196,1.3751,1.42978,12035.3,6627.23,1.00023
alpha_std[34],0.830809,0.0155377,0.805215,0.856722,7811.53,6862.61,1.00007
alpha_std[35],0.701613,0.0155691,0.676587,0.727202,7295.55,7006.13,1.00112
alpha_std[36],0.301431,0.0150493,0.276713,0.326129,7119.69,6079.2,1.00037
alpha_std[37],0.0719174,0.0148739,0.0473258,0.0961488,6606.13,6230.07,0.999864
